USE_CODE,LUC_Assign,L3_Description,USE_DESC
0377,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0376,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0375,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0374,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0371,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0370,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
037,0xx,"Multiple Use, primarily commercial with part of the land designated under Chapter 61A use",NA
0368,0xx,Multiple Uses,NA
0367,0xx,Multiple Uses,NA
0366,0xx,Multiple Uses,NA
0362,0xx,Multiple Uses,NA
0361,0xx,Multiple Uses,NA
0360,0xx,Multiple Uses,NA
036,0xx,Multiple Uses,NA
035I,355,NA,FUNERAL HM  MDL-96
0355,0xx,Multiple Uses,NA
0353,0xx,Multiple Uses,NA
0351,0xx,Multiple Uses,NA
0350,0xx,Multiple Uses,NA
034R,340,NA,OFFICE BLD  MDL-01
034I,340,NA,OFFICE BLD  MDL-96
034C,0xx,Multiple Uses,NA
034B,342,NA,PROF BLDG M-01
0347,0xx,Multiple Uses,NA
0346,0xx,Multiple Uses,NA
0343,0xx,Multiple Uses,NA
0342,0xx,Multiple Uses,NA
0341,0xx,Multiple Uses,NA
0340,0xx,Multiple Uses,NA
034,0xx,Multiple Uses,NA
033R,0xx,Multiple Uses,NA
033I,0xx,Multiple Uses,NA
0338,0xx,Multiple Uses,NA
0334,0xx,Multiple Uses,NA
0332,0xx,Multiple Uses,NA
0331,0xx,Multiple Uses,NA
0330,0xx,Multiple Uses,NA
032R,322,NA,STORE/SHOP  MDL-01
032L,326,NA,REST/CLUBS  MDL-96
032I,0xx,Multiple Uses,STORE/SHOP  MDL-96
032C,0xx,Multiple Uses,NA
0327,0xx,Multiple Uses,NA
0326,0xx,Multiple Uses,NA
0325,0xx,Multiple Uses,NA
0323,0xx,Multiple Uses,NA
0322,0xx,Multiple Uses,NA
0321,0xx,Multiple Uses,NA
0320,0xx,Multiple Uses,NA
032,0xx,Multiple Uses,NA
031X,0xx,"Multiple Use, primarily commercial",NA
031V,0xx,"Multiple Use, primarily commercial",NA
031R,0xx,"Multiple Use, primarily commercial",PRI COMM MDL-01
031I,0xx,"Multiple Use, primarily commercial",NA
031F,0xx,"Multiple Use, primarily commercial",NA
031C,0xx,"Multiple Use, primarily commercial",NA
031B,0xx,"Multiple Use, primarily commercial",NA
0319,0xx,"Multiple Use, primarily commercial",NA
0318,0xx,"Multiple Use, primarily commercial",NA
0317,0xx,"Multiple Use, primarily commercial",NA
0316,0xx,"Multiple Use, primarily commercial",NA
0315,0xx,"Multiple Use, primarily commercial",NA
0314,0xx,"Multiple Use, primarily commercial",NA
0313,0xx,"Multiple Use, primarily commercial",NA
0312,0xx,"Multiple Use, primarily commercial",NA
0311,0xx,"Multiple Use, primarily commercial",NA
0310,0xx,"Multiple Use, primarily commercial",NA
031,0xx,"Multiple Use, primarily commercial",NA
0306,0xx,Multiple Uses,NA
0302,0xx,Multiple Uses,NA
0301,0xx,Multiple Uses,NA
0300,0xx,Multiple Uses,NA
0230,0xx,Multiple Uses,NA
023,0xx,Multiple Uses,NA
021,0xx,"Multiple Use, primarily open space",NA
0197,0xx,Multiple Uses,NA
0193,0xx,Multiple Uses,NA
0190,0xx,Multiple Uses,NA
019,0xx,Multiple Uses,NA
018R,0xx,Multiple Uses,NA
0187,0xx,Multiple Uses,NA
0186,0xx,Multiple Uses,NA
0183,0xx,Multiple Uses,NA
0180,0xx,Multiple Uses,NA
018,0xx,Multiple Uses,NA
017V,0xx,Multiple Uses,NA
017R,0xx,Multiple Uses,NA
0178,0xx,Multiple Uses,NA
0176,0xx,Multiple Uses,NA
0174,0xx,Multiple Uses,NA
0173,0xx,Multiple Uses,NA
0170,0xx,Multiple Uses,NA
017,0xx,Multiple Uses,NA
016R,0xx,Multiple Uses,NA
0168,0xx,Multiple Uses,NA
0167,0xx,Multiple Uses,NA
0164,0xx,Multiple Uses,NA
0163,0xx,Multiple Uses,NA
0160,0xx,Multiple Uses,NA
016,0xx,Multiple Uses,NA
014C,0xx,Multiple Uses,NA
0147,0xx,Multiple Uses,NA
0146,0xx,Multiple Uses,NA
0143,0xx,Multiple Uses,NA
0140,0xx,Multiple Uses,NA
014,0xx,Multiple Uses,NA
013V,0xx,"Multiple Use, primarily residential",NA
013R,0xx,"Multiple Use, primarily residential",NA
013M,0xx,"Multiple Use, primarily residential",NA
013I,0xx,"Multiple Use, primarily residential",NA
013C,0xx,"Multiple Use, primarily residential",NA
0138,0xx,"Multiple Use, primarily residential",NA
0137,0xx,"Multiple Use, primarily residential",NA
0136,0xx,"Multiple Use, primarily residential",NA
0135,0xx,"Multiple Use, primarily residential",NA
0134,0xx,"Multiple Use, primarily residential",NA
0133,0xx,"Multiple Use, primarily residential",NA
0132,0xx,"Multiple Use, primarily residential",NA
0131,0xx,"Multiple Use, primarily residential",NA
0130,0xx,"Multiple Use, primarily residential",NA
013,0xx,"Multiple Use, primarily residential",NA
012O,0xx,Multiple Uses,NA
012C,0xx,Multiple Uses,NA
0123,0xx,Multiple Uses,NA
0121,0xx,Multiple Uses,NA
0120,0xx,Multiple Uses,NA
012,0xx,Multiple Uses,NA
011Z,0xx,Multiple Uses,NA
011J,112,NA,Apts Over 8 M-9
011I,0xx,Multiple Uses,NA
011C,111,NA,APT 4-UNIT  MDL-94
0114,0xx,Multiple Uses,NA
0113,0xx,Multiple Uses,NA
0112,0xx,Multiple Uses,NA
0111,0xx,Multiple Uses,NA
0110,0xx,Multiple Uses,NA
011,0xx,Multiple Uses,NA
010Z,0xx,Multiple Uses,NA
010V,0xx,Multiple Uses,NA
010R,0xx,Multiple Uses,NA
010L,104,NA,TWO FAMILY  MDL-96
010K,0xx,Multiple Uses,NA
010J,104,NA,TWO FAMILY  MDL-94
010I,0xx,Multiple Uses,NA
010F,0xx,Multiple Uses,NA
010D,0xx,Multiple Uses,NA
010C,104,NA,Two Family MDL
0109,0xx,Multiple Uses,NA
0108,0xx,Multiple Uses,NA
0107,0xx,Multiple Uses,NA
0106,0xx,Multiple Uses,NA
0105,0xx,Multiple Uses,NA
0104,0xx,Multiple Uses,NA
0103,0xx,Multiple Uses,NA
0102,0xx,Multiple Uses,NA
0101,0xx,Multiple Uses,NA
001,0xx,Multiple Uses,NA
000,0xx,NA,NA
9999,999,NA,NA
9980,998,NA,OWNER UNKN
9972,997,Other,NA
9971,997,Other,Other
9970,997,Other,NA
9960,996,"Other, Non-taxable condo common land",NA
9950,995,"Other, Open Space",NA
9941,994,Improved County or Regional Association Commission,NA
9940,994,Improved County or Regional Association Commission,NA
9930,993,Improved County or Regional Correctional,NA
9921,992,"Improved, County or Regional, Deeds or Admin",NA
9920,992,"Improved, County or Regional, Deeds or Admin",NA
9910,991,"Vacant, County or Regional",NA
9902,990,121A Corporations,NA
9901,990,121A Corporations,NA
9900,990,121A Corporations,NA
9891,989,"Improved , Other District",NA
9890,989,"Improved , Other District",NA
9880,988,"Vacant, Other District",NA
9851,985,"Improved Municipal or Public Safety, Other City or Town",NA
9850,985,"Improved Municipal or Public Safety, Other City or Town",NA
9820,982,"Vacant, Conservation, Other City or Town",NA
9811,981,"Improved, Selectmen or City Council, Other City or Town",NA
9810,981,"Improved, Selectmen or City Council, Other City or Town",NA
9800,980,"Vacant, Selectman or City Council, Other City or Town",NA
9771,977,NA,NA
9750,975,"Vacant, Transportation Authority",NA
9740,974,"Vacant, Utility Authority",NA
9730,973,"Vacant, Housing Authority",NA
9721,972,Transportation Authority,Commercial
9720,972,Transportation Authority,NA
9711,971,"Utility Authority, Electric, Light, Sewer, Water",NA
9710,971,"Utility Authority, Electric, Light, Sewer, Water",NA
9703,970,Housing Authority,Housing Authority
9702,970,Housing Authority,Condominium
9701,970,Housing Authority,Housing Authority
9700,970,Housing Authority,NA
9690,969,NA,NA
9622,962,Other,RELIG OTHER C
9621,962,Other,NA
9620,962,Other,NA
9613,961,Rectory or Parsonage,"Rectory, Parsonage"
9612,961,Rectory or Parsonage,NA
9611,961,Rectory or Parsonage,"Rectory, Parsonage"
9610,961,Rectory or Parsonage,NA
9603,960,"Chruch, Mosque, Synagogue, Temple, etc.",Colonial
9602,960,"Chruch, Mosque, Synagogue, Temple, etc.",CHURCH/TEMPLE C
9601,960,"Chruch, Mosque, Synagogue, Temple, etc.",Church
9600,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
9592,959,"Housing, Other",CHAR HOUSING C
9591,959,"Housing, Other",CHAR HOUSING R
9590,959,"Housing, Other",NA
9582,958,"Recreation, Active Use",CHAR REC ACTIVE C
9581,958,"Recreation, Active Use","Recreation, Active Use"
9580,958,"Recreation, Active Use",NA
9573,957,NA,CHAR SERVICES CONDO
9572,957,Charitable Services,CHAR SERVICES V
9571,957,Charitable Services,Charitable Svc
9570,957,Charitable Services,NA
9561,956,"Libraries, Museums",NA
9560,956,"Libraries, Museums",NA
9552,955,Hospitals,HOSPITAL C
9551,955,Hospitals,NA
9550,955,Hospitals,NA
9542,954,"Function Halls, Community Centers",NA
9541,954,"Function Halls, Community Centers",FUNC/FRAT ORG C
9540,954,"Function Halls, Community Centers",NA
9532,953,Cemeteries,NA
9531,953,Cemeteries,NA
9530,953,Cemeteries,NA
9520,952,"Auxiliary Use (Storage, Barns, etc.)",NA
9513,951,Other,NA
9512,951,Other,NA
9511,951,Other,Other
9510,951,Other,NA
9500,950,"Vacant, Conservation Organizations",NA
9471,947,Other,NA
9470,947,Other,NA
9461,946,Vacant,NA
9460,946,Vacant,NA
9451,945,Affiliated Housing,NA
9450,945,Affiliated Housing,NA
9440,944,Auxiliary Athletic,NA
9431,943,Other Educational,PRIV OTHER RDU C
9430,943,Other Educational,NA
9421,942,College or University,"Private College, University"
9420,942,College or University,NA
9411,941,Secondary Level,PRIV SECONDARY C
9410,941,Secondary Level,NA
9403,940,Elementary Level,Private Elementary Education
9402,940,Elementary Level,Non Profit C
9401,940,Elementary Level,PRIV ELEMENTARY C
9400,940,Elementary Level,NA
9391,939,"Improved, District",NA
9390,939,"Improved, District",NA
9383,938,Vacant. District,NA
9380,938,Vacant. District,NA
9373,937,"Improved, Tax Title/Treasurer",NA
9371,937,"Improved, Tax Title/Treasurer",NA
9370,937,"Improved, Tax Title/Treasurer",NA
9363,936,"Vacant, Tax,Title/Treasurer",NA
9362,936,"Vacant, Tax,Title/Treasurer",NA
9360,936,"Vacant, Tax,Title/Treasurer",NA
9351,935,"Improved, Muni public safety",TOWN PUBLIC SAFETY C
9350,935,"Improved, Muni public safety",NA
9341,934,"Improved, Education","Improved, Education"
9340,934,"Improved, Education",NA
9330,933,"Vacant, Education",NA
9320,932,"Vacant, Conservation",NA
9311,931,"Improved, Selectmen or City Council",Improved City
9310,931,"Improved, Selectmen or City Council",NA
9308,930,"Vacant, Selectman or City Council",Other Municipal
9307,930,"Vacant, Selectman or City Council",Function Hall
9306,930,"Vacant, Selectman or City Council",Conventional
9305,930,"Vacant, Selectman or City Council",NA
9304,930,"Vacant, Selectman or City Council",Non Profit Commercial
9302,930,"Vacant, Selectman or City Council",Charitable Org C
9301,930,"Vacant, Selectman or City Council",Charitablr Org V
9300,930,"Vacant, Selectman or City Council",NA
9296,929,Other,OTHER/NR I
9292,929,Other,NA
9291,929,Other,NA
9290,929,Other,NA
9280,928,Div of Capital Asset Management,NA
9270,927,"Education - Umass, State Colleges, Comm Colleges",NA
9260,926,Judiciary,NA
9252,925,Dept of Conservation and Recreation,NA
9250,925,Dept of Conservation and Recreation,NA
9246,924,Mass Highway Dept.,NA
9245,924,Mass Highway Dept.,NA
9244,924,Mass Highway Dept.,NA
9242,924,Mass Highway Dept.,NA
9240,924,Mass Highway Dept.,NA
9231,923,Dept of Mental Health,NA
9230,923,Dept of Mental Health,NA
9223,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",NA
9221,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts","Comm of Massachusetts, table 1"
9220,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",NA
9211,921,"Div of Fisheries and Wildlife,  DFW Environ Law Enforcement",NA
9210,921,"Div of Fisheries and Wildlife,  DFW Environ Law Enforcement",NA
9202,920,"Dept of Conservation and Recreation, Div of Urban Parks",NA
9201,920,"Dept of Conservation and Recreation, Div of Urban Parks",DEM/NR I
9200,920,"Dept of Conservation and Recreation, Div of Urban Parks",NA
9194,919,Other,NA
9191,919,Other,NA
9190,919,Other,NA
9180,918,"Dept of Environmental Protection, Low-level Radioactive Waster Management",NA
9170,917,"Education, Umass, State Colleges, Comm Colleges",NA
9160,916,Military Div - Campgrounds,NA
9151,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
9150,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
9140,914,Dept of Mental Health,NA
9131,913,"Dept of Public Health, Soldiers' Homes",NA
9130,913,"Dept of Public Health, Soldiers' Homes",NA
9120,912,"Dept of Correction, Div of Youth Services",NA
9114,911,"Div of Fisheries and Wildlife, Environmental Law Enforcement",NA
9111,911,"Div of Fisheries and Wildlife, Environmental Law Enforcement",NA
9110,911,"Div of Fisheries and Wildlife, Environmental Law Enforcement",NA
9106,910,"Dept of Conservation and Recreation, Div of state parks",DENV MNG I
9101,910,"Dept of Conservation and Recreation, Div of state parks",Unknown
9100,910,"Dept of Conservation and Recreation, Div of state parks",NA
9090,909,NA,RELIGIOUS MDL
9084,908,NA,Housing Authority
9082,908,NA,NA
9081,908,NA,NA
9080,908,NA,NA
9070,907,NA,NA
9065,960,NA,Church R
9064,906,NA,Church Commercial
9062,960,NA,Church C
9061,906,NA,Church Residential
9060,906,NA,NA
9054,957,NA,Charitable Org V
9052,957,NA,Charitable Org C
9051,957,NA,Charitable Org R
9050,905,NA,NA
9042,943,NA,Private School C
9041,943,NA,Priv School R
9040,904,NA,NA
9039,900,United States Government,Municipal I
9038,903,NA,Municipal C
9037,903,NA,Municipal R
9036,903,NA,Exempt Condo
9035,903,NA,TOWN-PROP MDL
9034,903,NA,EXEMPT
9033,903,NA,PUB-SCHOOL MDL
9032,903,NA,FIRE MDL-96
9031,903,NA,POLICE MDL-96
9030,903,NA,NA
9020,902,NA,NA
9016,901,BLANK,NA
9013,919,NA,Comm Mass I
9011,919,NA,Comm Mass V
9010,901,BLANK,NA
9006,900,United States Government,U S Govt
9005,900,United States Government,US Govt Land
9003,900,United States Government,US Government
9002,900,United States Government,NA
9001,900,United States Government,US Government
9000,900,United States Government,NA
8150,815,Productive Woodland - woodlot,NA
8140,814,"Target Shooting - areas for target shooting such as archery, skeet or approved firearms",NA
8130,813,Public Non-Commercial Flying - areas for gliding or hang gliding,NA
8120,812,Picknicking Areas,NA
8110,811,Swimming Areas,NA
8080,808,Fishing Areas,NA
8070,807,Hunting - areas for the hunting of wildlife and Fishing Areas,NA
8060,806,Horseback Riding - trails or areas,NA
8050,805,Golfing - area of land arraged as a golf course,NA
8040,804,Boating - areas for recreational boating and supporting land facilities,NA
8030,803,Nature Study,NA
8020,802,camping,NA
8010,801,"Hiking - trails or paths, Camping - areas with sites for overnight camping, Nature Study - areas specifically for nature study or observation",NA
8000,800,NA,RECRTION
7222,722,NA,NA
7221,722,NA,NA
7220,722,NA,NONPRWETLD
7201,720,"Wet land, scrub land, rock land",NA
7200,720,"Wet land, scrub land, rock land",NA
7190,719,Nurseries,NA
7180,718,Pasture,NA
7171,717,Productive Woodland - woodlot,NA
7170,717,Productive Woodland - woodlot,NA
7161,716,"Necessary related land - farm roads, ponds, land under farm buildings",Tillable R
7160,716,"Necessary related land - farm roads, ponds, land under farm buildings",NA
7150,715,Christmas Trees,NA
7140,714,"Orchards - pears, apples, grape vineyards, etc.",NA
7132,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
7131,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
7130,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
7121,712,Truck Crops - Vegetables,NA
7120,712,Truck Crops - Vegetables,NA
7110,711,"Tobacco, Sod",NA
7102,710,Cranberry Bog,NA
7101,710,Cranberry Bog,NA
7100,710,Cranberry Bog,NA
7010,701,NA,NA
7000,700,NA,NA
6100,610,NA,FOREST C61
6020,602,Christmas Trees,NA
6010,601,All land designated under Chapter 61,NA
6000,600,NA,NA
4990,499,NA,NA
4521,452,"Electric Generation Plants, Agreement Value",NA
4520,452,"Electric Generation Plants, Agreement Value",NA
4510,451,"Electric Generation Plants, Renewable",NA
4501,450,Electric Generation Plants,NA
4500,450,Electric Generation Plants,NA
4490,409,NA,IND CONDO
4460,446,NA,NA
4430,443,NA,NA
4421,442,Undevelopable Land,NA
4420,442,Undevelopable Land,NA
4410,441,Potentially Developable Land,NA
4401,440,Developable Land,NA
4400,440,Developable Land,NA
4340,434,NA,NA
4332,433,"radio, television trasmission facilities",NA
4331,433,"radio, television trasmission facilities",NA
4330,433,"radio, television trasmission facilities",NA
4320,432,cable tv transmitting facilities,NA
4311,431,telephone relay towers,NA
4310,431,telephone relay towers,NA
4300,430,Telephone exchange stations,NA
4281,428,gas pressure control stations,NA
4280,428,gas pressure control stations,NA
4273,427,Natural or manufactured gas storage,NA
4270,427,Natural or manufactured gas storage,NA
4260,426,Gas pipeline right-of-way,NA
4250,425,gas production plants,NA
4241,424,electricity regulating substations,Electric Substation V
4240,424,electricity regulating substations,NA
4231,423,electric transmission right-of-way,NA
4230,423,electric transmission right-of-way,NA
4221,422,NA,NA
4220,422,NA,NA
4210,421,liquid natural gas tanks,NA
4200,420,tanks,NA
4130,413,other,NA
4120,412,rock,NA
4106,401,Warehouses for storage of manufactured products,Warehouse
4104,402,office buildings - part of manufacturing operation,Office Building
4102,410,Sand and gravel,NA
4101,410,Sand and gravel,NA
4100,410,Sand and gravel,NA
4095,409,NA,NA
4060,406,NA,LAB OFFICE
4050,405,NA,Condo Industrial
4041,404,research and development facilities,NA
4040,404,research and development facilities,NA
4030,403,land - integral part of manufacturing operation,NA
4027,402,office buildings - part of manufacturing operation,Office Building - part of manufacturing operation
4022,402,office buildings - part of manufacturing operation,IND BLDG
4021,402,office buildings - part of manufacturing operation,IND CONDO MDL
4020,402,office buildings - part of manufacturing operation,NA
4015,401,Warehouses for storage of manufactured products,NA
4010,401,Warehouses for storage of manufactured products,NA
4005,400,Building for manufacturing operations,NA
4001,400,Building for manufacturing operations,NA
4000,400,Building for manufacturing operations,NA
3940,394,NA,NA
3939,393,Ag/Horticultural land not included in Chapter 61A,NA
3930,393,Ag/Horticultural land not included in Chapter 61A,NA
3922,392,Undevelopable Land,CRMCL REC LND
3921,392,Undevelopable Land,UNDVCNDLND
3920,392,Undevelopable Land,NA
3910,391,Potentially Developable Land,NA
3906,390,Developable Land,NA
3900,390,Developable Land,NA
3890,389,Structures on land classifed under chapter 61b,NA
3881,388,"Other outdoor facilities - driving ranges, mini-golf, batting cages",NA
3880,388,"Other outdoor facilities - driving ranges, mini-golf, batting cages",NA
3870,387,summer camps,NA
3860,386,camping facilities,NA
3852,385,fish and game clubs,Fish & Game C
3850,385,fish and game clubs,NA
3842,384,marinas,NA
3841,384,marinas,YACHT CLUB
3840,384,marinas,NA
3831,383,Beaches or swimming pools,NA
3830,383,Beaches or swimming pools,NA
3820,382,riding stables,NA
3810,381,tennis courts,NA
3801,380,Golf courses,Golf Course C
3800,380,Golf courses,NA
3772,377,"archery, billiards. And other indoor facilities",NA
3770,377,"archery, billiards. And other indoor facilities",NA
3760,376,gymnasiums and athletic clubs,NA
3751,375,tennis and/or racquetball courts,NA
3750,375,tennis and/or racquetball courts,NA
3740,374,health spas,NA
3730,373,swimming pools,NA
3720,372,roller skating,NA
3710,371,ice skating,NA
3700,370,Bowling,NA
3690,369,other cultural and entertainment properties,NA
3680,368,fairgrounds and amusement parks,NA
3670,367,race tracks,NA
3660,366,arenas and field houses,NA
3650,365,stadiums,NA
3640,364,legitimate theaters,NA
3630,363,drive in movies,NA
3620,362,motion picture theaters,NA
3610,361,Art galleries,NA
3600,360,Museums,NA
3580,343,NA,OFFICE CONDO
3570,327,NA,RETAIL CONDO
3560,356,"Misc public services - prof membership orgs, business associations",NA
3550,355,funeral homes,NA
3543,354,Bus Transportation facilities,NA
3542,354,Bus Transportation facilities,NA
3541,354,Bus Transportation facilities,NA
3540,354,Bus Transportation facilities,NA
3530,353,Fraternal Organizations,NA
3521,352,"Day care centers, adult",NA
3520,352,"Day care centers, adult",NA
3510,351,educational properties,NA
3500,350,Property used for postal services,NA
3470,347,NA,NA
3450,345,NA,OFFICE LAB MDL-94
3440,344,NA,Condo Medical
3430,343,NA,CONDO-OFC
3429,342,Medical Office Buildings,Medical Office Building
3422,342,Medical Office Buildings,NA
3421,342,Medical Office Buildings,PROF CONDO MDL
3420,342,Medical Office Buildings,NA
3410,341,Bank Buildings,NA
3408,340,General Office Buildings,NA
3407,340,General Office Buildings,COM COMMON
3403,340,General Office Buildings,NA
3402,340,General Office Buildings,OFFICEBLDG
3401,340,General Office Buildings,OFF CONDO MDL
3400,340,General Office Buildings,NA
3390,339,NA,GAS MART
3380,338,Other motor vehicles sales and services,NA
3371,337,Parking Lots,NA
3370,337,Parking Lots,NA
3361,336,Parking Garages,NA
3360,336,Parking Garages,NA
3350,335,Car Wash facilities,NA
3345,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",Gasoline service Stations
3340,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",NA
3331,333,NA,Outbuildings
3330,333,Fuel Services Areas - providing only fuel products,NA
3327,332,Auto Repair facilities,NA
3326,332,Auto Repair facilities,Auto Repair
3323,332,Auto Repair facilities,NA
3321,332,Auto Repair facilities,NA
3320,332,Auto Repair facilities,NA
3310,331,Automotive Supplies Sales and Serivice,NA
3302,330,Automotive Vehicles Sales and Service,NA
3301,330,Automotive Vehicles Sales and Service,"Auto Sales, table 1"
3300,330,Automotive Vehicles Sales and Service,NA
3290,329,NA,COMM CONDO
3280,328,NA,RETAIL CON MDL-06
3270,327,NA,Condo Retail
3260,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",NA
3255,325,Small Retail and Services stores (< 10K sq.ft.),NA
3251,325,Small Retail and Services stores (< 10K sq.ft.),NA
3250,325,Small Retail and Services stores (< 10K sq.ft.),NA
3240,324,Supermarkets (> 10k sq. ft.),NA
3230,323,Shopping Centers/Malls,NA
3228,322,"Discount Stores, Junior Department Stores, Department Stores",NA
3225,327,NA,Inn/Condo
3224,327,NA,Retail Condo
3223,322,"Discount Stores, Junior Department Stores, Department Stores",NA
3222,322,"Discount Stores, Junior Department Stores, Department Stores",COMM BLDG  MDL-94
3221,322,"Discount Stores, Junior Department Stores, Department Stores",RTL CONDO MDL
3220,322,"Discount Stores, Junior Department Stores, Department Stores",NA
3210,321,"Facilities providing buidling materials, hardware and farm equipment, heating, hardware, plumbing, lumber supplies and wquipment",NA
3190,319,NA,Condo Industrial
3180,318,Commercial Greenhouses,NA
3171,317,"Farm Buildings - barns, silos, utility shed, etc.",NA
3170,317,"Farm Buildings - barns, silos, utility shed, etc.",NA
3165,316,"Other Storage, Warehouse and Distribution facilities",NA
3161,316,"Other Storage, Warehouse and Distribution facilities",NA
3160,316,"Other Storage, Warehouse and Distribution facilities",NA
3150,315,"Piers, Wharves, Docks and related facilities that are used for storage and transit of goods",NA
3140,314,Trucking Terminals,NA
3135,313,Lumber Yards,NA
3132,313,Lumber Yards,NA
3131,313,Lumber Yards,NA
3130,313,Lumber Yards,NA
3120,312,Grain and Feed Elevators,NA
3110,311,Bottled Gas and Propane Gas Tanks,NA
3108,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",NA
3101,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",Oil Products Retail V
3100,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",NA
3070,307,NA,NA
3060,306,"Care and Treatment Facilities - designed and used on a transient basis, including half-way houses or other types of facilities that service the needs of people",NA
3050,305,Private Hospitals,NA
3041,304,Nursing Homes - includes property designed for minimal care with or without medical facilities,"Nursing Homes - includes property designed for minimal care with or without medical facilities (Same as 304, 1 is specific to Town use only)"
3040,304,Nursing Homes - includes property designed for minimal care with or without medical facilities,NA
3031,303,BLANK,NA
3030,303,BLANK,ASSTD LVNG
3020,302,"Inns, Resorts, or Tourist Homes",NA
3012,301,Motels,NA
3011,301,Motels,NA
3010,301,Motels,NA
3000,300,Hotels,NA
2920,292,NA,NA
2900,290,"Wet land, scrub land, rock land",NA
2850,285,Hunting - areas for the hunting of wildlife and Fishing Areas,NA
2840,284,Horseback Riding - trails or areas,NA
2810,281,"Hiking - trails or paths, Camping - areas with sites for overnight camping, Nature Study - areas specifically for nature study or observation",NA
2780,278,Pasture,NA
2770,277,Productive Woodland - woodlot,NA
2760,276,"Necessary related land - farm roads, ponds, land under farm buildings",NA
2740,274,"Orchards - pears, apples, grape vineyards, etc.",NA
2730,273,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
2720,272,Truck Crops - Vegetables,NA
2610,261,All land designated under Chapter 61,NA
2210,221,Underwater Land or Marshes not under public ownership located in commercially zoned area,NA
2200,220,Commercial Vacant Land,NA
2020,202,Underwater Land or Marshes not under public ownership located in  residential areas,NA
2013,201,Residential Open Land,NA
2010,201,Residential Open Land,NA
1504,150,NA,NA
1503,150,NA,NA
1502,150,NA,NA
1501,150,NA,NA
1500,150,NA,NA
1401,140,Child Care Facility,NA
1400,140,Child Care Facility,NA
1333,133,NA,NA
1327,132,Undevelopable Land,RES COMMON
1325,132,Undevelopable Land,RES CR
1323,132,Undevelopable Land,UNDEV LAND WATER
1322,132,Undevelopable Land,RES-UDV-PARK LND
1321,132,Undevelopable Land,RES ACLNNV
1320,132,Undevelopable Land,NA
1317,131,Potentially Developable Land,NA
1313,131,Potentially Developable Land,RES PO RVR
1311,131,Potentially Developable Land,NA
1310,131,Potentially Developable Land,NA
1306,130,Developable Land,NA
1303,130,Developable Land,DEV LAND WTR
1302,130,Developable Land,NA
1301,130,Developable Land,RES ACLNPO
1300,130,Developable Land,NA
1259,125,Other Congregate Housing which includes non-transient shared living arrangements,NA
1252,125,Other Congregate Housing which includes non-transient shared living arrangements,Other Residential C
1251,125,Other Congregate Housing which includes non-transient shared living arrangements,ASSIST LIV RES
1250,125,Other Congregate Housing which includes non-transient shared living arrangements,NA
1240,124,"Rectories, Convents, Monastaries",NA
1230,123,Residence Halls or Dormitories,NA
1220,122,Fraternity and Sorority Houses,NA
1212,121,Rooming and Boarding Houses,Boarding House C
1211,121,Rooming and Boarding Houses,NA
1210,121,Rooming and Boarding Houses,NA
1140,114,NA,NA
1129,112,Greater than Eight Units,NA
1125,112,Greater than Eight Units,NA
1124,112,Greater than Eight Units,NA
1121,112,Greater than Eight Units,NA
1120,112,Greater than Eight Units,NA
1114,111,Four to Eight Units,NA
1113,111,Four to Eight Units,NA
1112,111,Four to Eight Units,Apt-co-op
1111,111,Four to Eight Units,Apt 6-8
1110,111,Four to Eight Units,NA
1098,109,Multiple houses on a single parcel,"Multiuse, Residential, 4-8 Apartment"
1095,109,Multiple houses on a single parcel,"Multiuse, Residential, 3 Family"
1094,109,Multiple houses on a single parcel,"Multiuse, Residential, 2 Family"
1093,109,Multiple houses on a single parcel,NA
1092,109,Multiple houses on a single parcel,NA
1091,109,Multiple houses on a single parcel,"Multiuse, Residential, 1 Family"
1090,109,Multiple houses on a single parcel,NA
1080,108,BLANK,NA
1073,107,BLANK,NA
1070,107,BLANK,NA
1068,106,Accessory Land with improvement,NA
